rank,Export country,Import country,Inquiry Criteria,Export amount (unit:$),Revenue share,Export Share,Item HS CODE,best_worst
60,Kenya,Uganda,2019,276878248,21.10022315,99.98092413,710813,best
61,brazil,India,2019,260312218,2.892324176,15.05342917,710813,best
62,Guinea,Belgium,2019,240606364,27.08371236,95.24865107,710813,best
63,Mexico,Singapore,2019,236245654,2.732355607,16.06563706,710813,best
64,Mongolia,uk,2019,225728000,0.318189765,53.9510089,710813,best
65,Other country,Germany,2019,215173701,18.76551387,91.45544677,710813,best
66,Armenia,Swiss,2019,214958969,4.5386267,99.82765668,710813,best
67,Arab Emirates,China,2019,204328042,1.555568822,15.05573064,710813,best
68,Italy,Swiss,2019,200154611,4.226048654,30.55797804,710813,best
69,brazil,Arab Emirates,2019,194709509,5.453659149,11.25973197,710813,best
70,australia,India,2019,185708682,2.063405686,1.194637876,710813,best
71,Italy,uk,2019,183810588,0.259102317,28.06270554,710813,best
72,Swiss,france,2019,182999253,44.44855783,0.599018737,710813,best
73,Ghana,Hong Kong,2019,180857208,5.016755655,3.050662427,710813,best
74,Niger,Other country,2019,178774609,1.828639607,100,710813,best
75,Arab Emirates,Nepal,2019,172677935,74.08729967,12.72362056,710813,best
76,Spain,Italy,2019,170923753,10.74558106,18.10026765,710813,best
77,korea,Singapore,2019,168064735,1.943792884,42.79071887,710813,best
78,Swiss,Kaman Islands,2019,168048055,98.24160688,0.550078386,710813,best
79,Canada,Singapore,2019,158547297,1.833716678,1.36256131,710813,best
80,Republic of South Africa,Uganda,2019,121088260,9.2278441,1.098860836,710813,best
81,surname,Belgium,2019,119256560,13.42404379,82.79104594,710813,best
82,Mongolia,Singapore,2019,118543000,1.371037415,28.33283619,710813,best
83,Japan,Malaysia,2019,111380743,8.713573289,3.314859255,710813,best
84,Uganda,turkey,2019,108413107,49.41438093,8.626427687,710813,best
85,Canada,USA,2019,106330907,31.25572017,0.913811731,710813,best
86,Netherlands,Belgium,2019,99150792,11.16084997,93.56097737,710813,best
87,brazil,Belgium,2019,95067141,10.70117622,5.497577042,710813,best
88,Malaysia,Thailand,2019,94771937,55.81893297,39.98761747,710813,best
89,Germany,france,2019,94068713,22.8482825,6.516266188,710813,best
90,Swiss,Malaysia,2019,91346597,7.146255683,0.299008451,710813,best
91,Laos,India,2019,89347851,0.992742298,46.46060863,710813,best
92,Columbia,USA,2019,87501518,25.72086553,72.77494648,710813,best
93,Mexico,USA,2019,87411613,25.69443817,5.944334743,710813,best
94,uk,Slovakia,2019,83763889,92.06419522,0.788370132,710813,best
95,Italy,france,2019,81042943,19.68446253,12.37297737,710813,best
96,Burkina Faso,Uganda,2019,79807510,6.081937756,3.403443853,710813,best
97,uk,Arab Emirates,2019,79655773,2.231095119,0.749705309,710813,best
98,Finland,Germany,2019,76549388,6.67594876,97.95709893,710813,best
99,Italy,Dominican Republic,2019,76447928,87.87460973,11.67144785,710813,best
100,China,uk,2019,74615174,0.105178731,39.90326592,710813,best
101,Mongolia,Swiss,2019,74123400,1.565035615,17.7161549,710813,best
102,USA,Ireland,2019,71868240,93.00651766,0.606481906,710813,best
103,Guinea Beach Sau,Belgium,2019,69247819,7.794839587,100,710813,best
104,Singapore,China,2019,67654119,0.515057244,2.473404252,710813,best
105,Gambia,Uganda,2019,67225683,5.123107081,99.94293684,710813,best
106,Austria,Czech Republic,2019,65761128,41.59385132,36.75631138,710813,best
107,Italy,Jordan,2019,61297128,95.5164027,9.358346939,710813,best
108,Germany,Italy,2019,61125500,3.842818822,4.234245544,710813,best
109,Swiss,Czech Republic,2019,60957228,38.55538911,0.19953372,710813,best
110,Gaiana,Belgium,2019,58366041,6.569938715,99.99982181,710813,best
111,Germany,Other country,2019,57797706,0.591197905,4.003724781,710813,best
112,Germany,Swiss,2019,55663083,1.17526594,3.855856577,710813,best
113,Singapore,Bangladesh,2019,55512281,52.45415696,2.029504099,710813,best
114,Japan,China,2019,53275735,0.405593239,1.585566396,710813,best
115,USA,Singapore,2019,51845639,0.599633136,0.437515125,710813,best
116,Malaysia,Bangladesh,2019,50317808,47.54584304,21.23085506,710813,best
117,Malaysia,Singapore,2019,50211702,0.580735447,21.1860852,710813,best
118,Cambodia,Singapore,2019,48965458,0.566321714,99.91663931,710813,best
119,Poland,uk,2019,48894572,0.068922563,66.09870982,710813,best
120,USA,India,2019,47731466,0.530343424,0.40279643,710813,best
121,Laos,Swiss,2019,45909514,0.969329854,23.87280655,710813,best
122,Venezuela,Italy,2019,42544779,2.674691864,12.08625806,710813,best
123,Congo Democratic Republic,China,2019,42516214,0.323679982,99.3144613,710813,best
124,Germany,Austria,2019,42142019,9.879013783,2.9192343,710813,best
125,Germany,Singapore,2019,41205856,0.476576182,2.85438503,710813,best
126,China,korea,2019,41117847,19.75321476,21.98931256,710813,best
127,turkey,Nepal,2019,40336809,17.30646858,3.404157479,710813,best
128,Hong Kong,Arab Emirates,2019,40045096,1.121631426,1.12075495,710813,best
129,australia,korea,2019,39697006,19.07063579,0.255365266,710813,best
130,Belgium,turkey,2019,39604915,18.05180583,43.81789617,710813,best
131,Singapore,catarrh,2019,39228559,50.99250622,1.434178525,710813,best
132,Laos,Hong Kong,2019,38864840,1.078062677,20.20959766,710813,best
133,australia,turkey,2019,38290809,17.45284011,0.246319398,710813,best
134,Hong Kong,korea,2019,38234220,18.36790625,1.070073382,710813,best
135,Swiss,Luxembourg,2019,36767971,62.95302267,0.120354063,710813,best
136,korea,uk,2019,35818491,0.050490312,9.119694139,710813,best
137,Austria,Germany,2019,35814379,3.123407846,20.01797272,710813,best
138,Belgium,Arab Emirates,2019,35738888,1.00101795,39.54061974,710813,best
139,Swiss,Poland,2019,35423289,41.47531563,0.115952461,710813,best
140,Singapore,Philippine,2019,34598138,68.55587229,1.26489241,710813,best
141,USA,Italy,2019,34473276,2.167255137,0.290913179,710813,best
142,france,Belgium,2019,33803807,3.805105443,6.752589241,710813,best
143,Namibia,Uganda,2019,32281720,2.460111983,9.08008721,710813,best
144,Nicaragua,USA,2019,32181520,9.459682157,100,710813,best
145,Swiss,catarrh,2019,31758532,41.28235096,0.103956467,710813,best
146,Norway,Sweden,2019,29916427,87.30085688,99.23066485,710813,best
147,Portugal,Spain,2019,28860374,45.06783308,80.62456015,710813,best
148,uk,uk,2019,27699712,0.039045953,0.260704534,710813,best
149,USA,Canada,2019,27215986,5.867571276,0.229670339,710813,best
150,USA,Mexico,2019,27200085,59.60748463,0.229536154,710813,best
151,Republic of South Africa,Belgium,2019,27128025,3.05365001,0.246183439,710813,best
152,korea,Japan,2019,26256344,44.06318164,6.685089734,710813,best
153,Slovakia,Belgium,2019,25674495,2.89003427,75.68205836,710813,best
154,Eswatini,korea,2019,25564919,12.2815121,98.56233853,710813,best
155,Columbia,Belgium,2019,25205252,2.83721421,20.96318907,710813,best
156,surname,Uganda,2019,24788679,1.88908541,17.20895406,710813,best
157,China,Singapore,2019,22801915,0.263721001,12.1941802,710813,best
158,Singapore,Thailand,2019,22780211,13.41712654,0.832834299,710813,best
159,uk,france,2019,22778862,5.532741518,0.214390409,710813,best
160,Germany,Poland,2019,22352370,26.17124572,1.548378714,710813,best
161,Luxembourg,Belgium,2019,21673217,2.43963279,89.83791368,710813,best
162,USA,Malaysia,2019,21335890,1.669156052,0.180049369,710813,best
163,korea,China,2019,21221571,0.161561839,5.40319347,710813,best
164,Singapore,Germany,2019,20855732,1.818849266,0.762476209,710813,best
165,Spain,Swiss,2019,20676148,0.436554556,2.189536599,710813,best
166,Germany,Luxembourg,2019,20443265,35.00234824,1.416132445,710813,best
167,Singapore,turkey,2019,20403256,9.299745134,0.74593389,710813,best
168,france,Portugal,2019,20138214,44.59630728,4.022774334,710813,best
169,Swiss,Nepal,2019,19532952,8.380594013,0.063937989,710813,best
170,Arab Emirates,uk,2019,19337471,0.027258405,1.424864408,710813,best
171,Swiss,Ukraine,2019,19052174,89.29983373,0.062364239,710813,best
172,uk,Germany,2019,18993671,1.656457062,0.178764896,710813,best
173,Indonesia,korea,2019,18961659,9.109273703,1.855343678,710813,best
174,Austria,Hungary,2019,18551245,57.59990623,10.36897265,710813,best
175,Spain,france,2019,18210087,4.423035022,1.928388787,710813,best
176,uk,Singapore,2019,18160421,0.210038692,0.170922502,710813,best
177,uk,korea,2019,18002964,8.648711937,0.169440546,710813,best
178,Czech Republic,Belgium,2019,17620324,1.983421298,71.72583098,710813,best
179,Singapore,Mexico,2019,17458020,38.25828701,0.638257382,710813,best
180,Austria,Swiss,2019,17134194,0.361770019,9.576930766,710813,best
181,australia,Malaysia,2019,16823705,1.316157377,0.108224532,710813,best
182,Italy,Spain,2019,15188724,23.71843407,2.318890842,710813,best
183,Hong Kong,Malaysia,2019,15185191,1.187972634,0.424992813,710813,best
184,Germany,Portugal,2019,14913518,33.0261577,1.033079437,710813,best
185,Malaysia,Indonesia,2019,14392114,75.08094143,6.072539693,710813,best
186,korea,Vietnam,2019,14277796,48.12863629,3.635248969,710813,best
187,Laos,Thailand,2019,14184501,8.354410975,7.375897038,710813,best
188,australia,Arab Emirates,2019,13815123,0.386950654,0.088870746,710813,best
189,Hungary,Italy,2019,13333388,0.838239268,90.94230621,710813,best
190,turkey,Germany,2019,13181854,1.149602684,1.112460504,710813,best
191,Germany,Belgium,2019,12974132,1.460425457,0.898735562,710813,best
192,Italy,Romania,2019,12697819,63.80507688,1.938599726,710813,best
193,Poland,Czech Republic,2019,12668735,8.012962916,17.12638038,710813,best
194,Malaysia,Hong Kong,2019,12491201,0.346490494,5.27047756,710813,best
195,korea,Thailand,2019,12364023,7.282182816,3.147985996,710813,best
196,Indonesia,India,2019,12082802,0.134251787,1.182267348,710813,best
197,New Zealand,australia,2019,11831986,40.70535389,96.56835868,710813,best
198,Germany,Netherlands,2019,11701026,81.22457312,0.810545798,710813,best
199,Swiss,China,2019,11674380,0.088878166,0.038214213,710813,best
200,Arab Emirates,Thailand,2019,11565338,6.811771998,0.852181678,710813,best
201,Austria,Poland,2019,11484349,13.44643631,6.419024745,710813,best
202,Guinea,Uganda,2019,11373595,0.86675423,4.50245606,710813,best
203,Saudi Arabia,Egypt,2019,11356018,99.55584802,65.79298175,710813,best
204,Panama,Italy,2019,11143050,0.700537783,99.99910259,710813,best
205,brazil,Azerbaijan,2019,11123070,0.264771055,0.643228918,710813,best
206,korea,Philippine,2019,11110378,22.01510542,2.828797258,710813,best
207,China,Hong Kong,2019,10946558,0.303644004,5.854082907,710813,best
208,USA,Dominican Republic,2019,10541513,12.11715432,0.08895775,710813,best
209,Republic of South Africa,Singapore,2019,10485207,0.121269169,0.095151944,710813,best
210,uk,Czech Republic,2019,10412193,6.585702234,0.097997622,710813,best
211,USA,Germany,2019,10280326,0.896557522,0.086753644,710813,best
212,USA,Japan,2019,10040753,16.85030952,0.084731935,710813,best
213,Romania,Italy,2019,9920604,0.62368543,63.84030085,710813,best
214,Ghana,Pakistan,2019,9669354,88.09965639,0.163100687,710813,best
215,Germany,Hungary,2019,9485092,29.45033661,0.657045072,710813,best
216,Croatia,Germany,2019,9464622,0.82541916,82.2052096,710813,best
217,australia,Vietnam,2019,9332549,31.45883696,0.060034977,710813,best
218,Spain,Poland,2019,8847880,10.35952973,0.936961618,710813,best
219,france,Germany,2019,8776883,0.765440753,1.753254765,710813,best
220,turkey,Singapore,2019,8693596,0.100547864,0.733681483,710813,best
221,Burundi,Uganda,2019,8464361,0.645048527,100,710813,best
222,Singapore,Hong Kong,2019,8390502,0.232742166,0.30675299,710813,best
223,Malaysia,China,2019,8269520,0.062956642,3.489201686,710813,best
224,Mali,Uganda,2019,8233650,0.627466598,70.37065906,710813,best
225,Chile,Italy,2019,8196868,0.515318134,93.72061751,710813,best
226,China,Arab Emirates,2019,8154509,0.228401339,4.36092987,710813,best
227,Austria,uk,2019,8105499,0.01142564,4.530461296,710813,best
228,Germany,Bulgaria,2019,8048150,69.40825306,0.557506168,710813,best
229,france,Mauritius,2019,8015528,76.92392145,1.601167825,710813,best
230,Germany,australia,2019,7651939,26.32481858,0.5300601,710813,best
231,Singapore,korea,2019,7628336,3.664689916,0.278888543,710813,best
232,Canada,New Zealand,2019,7509341,26.60309398,0.064535553,710813,best
233,Zimbabwe,Hong Kong,2019,7451174,0.206686367,0.70035491,710813,best
234,Ghana,brazil,2019,7382882,70.48298562,0.124532945,710813,best
235,Columbia,Spain,2019,7285956,11.37761586,6.059724107,710813,best
236,uk,Kazakhstan,2019,7179173,99.60124391,0.06756904,710813,best
237,Swiss,Serbia,2019,7087830,87.40230973,0.023200876,710813,best
238,Swiss,Japan,2019,6973935,11.70360065,0.022828059,710813,best
239,korea,Hong Kong,2019,6882900,0.190923148,1.752445205,710813,best
240,Swiss,Belgium,2019,6873639,0.773727089,0.022499756,710813,best
241,Japan,Thailand,2019,6832051,4.023952753,0.203332164,710813,best
242,Singapore,USA,2019,6800451,1.998976586,0.248621439,710813,best
243,Japan,Hong Kong,2019,6776975,0.187984919,0.201693019,710813,best
244,Hong Kong,Macau,2019,6748525,69.79518444,0.188873134,710813,best
245,Portugal,Belgium,2019,6748247,0.759612413,18.85195411,710813,best
246,Ghana,Belgium,2019,6744509,0.759191647,0.113765,710813,best
247,Swiss,Slovenian,2019,6619078,46.27518189,0.021666491,710813,best
248,Malta,Belgium,2019,6510209,0.732817807,87.82714392,710813,best
249,Netherlands,Italy,2019,6436040,0.40461895,6.073195994,710813,best
250,Germany,Croatia,2019,6388908,47.72424387,0.442568245,710813,best
251,australia,New Zealand,2019,6141790,21.75831629,0.039509273,710813,best
252,korea,Swiss,2019,6081876,0.12841225,1.548497644,710813,best
253,Germany,USA,2019,6041323,1.775832695,0.418490564,710813,best
254,Belgium,Portugal,2019,6037251,13.369562,6.679464846,710813,best
255,Sweden,Finland,2019,5882194,55.66916684,86.59203,710813,best
256,france,Swiss,2019,5854978,0.123621543,1.169580144,710813,best
257,Saudi Arabia,Singapore,2019,5806666,0.067158384,33.64188663,710813,best
258,Hong Kong,India,2019,5710394,0.063448081,0.159818629,710813,best
259,brazil,turkey,2019,5627111,2.564820935,0.325406612,710813,best
260,Poland,Germany,2019,5601239,0.488489661,7.572101691,710813,best
261,Republic of South Africa,Arab Emirates,2019,5291265,0.148204142,0.048017569,710813,best
262,Germany,China,2019,5148376,0.039195076,0.356634926,710813,best
263,Canada,Canada,2019,4927685,1.062373524,0.042348706,710813,best
264,Canada,Arab Emirates,2019,4695057,0.131504828,0.040349493,710813,best
265,Poland,Italy,2019,4649728,0.292317646,6.285790206,710813,best
266,Malaysia,catarrh,2019,4613694,5.997258782,1.946679963,710813,best
267,Austria,Romania,2019,4602432,23.12669031,2.5724684,710813,best
268,Arab Emirates,Italy,2019,4478151,0.281530997,0.329968587,710813,best
269,uk,Denmark,2019,4417942,40.13295829,0.041580848,710813,best
270,Swiss,New Zealand,2019,4381058,15.52062927,0.014340691,710813,best
271,Germany,Malaysia,2019,4361622,0.341219783,0.302135418,710813,best
272,france,Spain,2019,4350268,6.793299078,0.869001911,710813,best
273,Belgium,Poland,2019,4338967,5.080274331,4.800525528,710813,best
274,USA,france,2019,4313123,1.047611364,0.036397595,710813,best
275,China,Japan,2019,4265447,7.15823825,2.281107941,710813,best
276,Japan,korea,2019,4232531,2.033328589,0.12596652,710813,best
277,Greece,Belgium,2019,4226876,0.475795785,85.17601645,710813,best
278,Thailand,Laos,2019,4169595,92.93914837,1.129129254,710813,best
279,Indonesia,Swiss,2019,4162591,0.087888618,0.407297531,710813,best
280,Swiss,USA,2019,4138144,1.216397701,0.013545551,710813,best
281,Argentina,Germany,2019,4085726,0.356320255,90.95324098,710813,best
282,Germany,India,2019,4008780,0.044541479,0.277693579,710813,best
283,Germany,Israel,2019,3999000,47.24132069,0.277016105,710813,best
284,uk,Italy,2019,3967778,0.249445027,0.037343988,710813,best
285,Spain,India,2019,3891352,0.043236739,0.412081478,710813,best
286,Swiss,Finland,2019,3863617,36.56532569,0.012646931,710813,best
287,Austria,Croatia,2019,3840896,28.69095272,2.14681794,710813,best
288,USA,New Zealand,2019,3806138,13.4838792,0.032119248,710813,best
289,Ghana,Canada,2019,3784391,0.815887542,0.063834334,710813,best
290,USA,China,2019,3759726,0.028623152,0.031727586,710813,best
291,Germany,Thailand,2019,3597888,2.119090054,0.249230538,710813,best
292,Italy,Slovenian,2019,3590939,25.10490968,0.548235359,710813,best
293,Arab Emirates,Spain,2019,3522780,5.501108926,0.259572921,710813,best
294,Hong Kong,australia,2019,3513540,12.08756409,0.098334571,710813,best
295,Mali,korea,2019,3457675,1.661083978,29.55176241,710813,best
296,Bulgaria,Germany,2019,3436266,0.299680198,87.5988406,710813,best
297,Germany,Czech Republic,2019,3422732,2.164874756,0.237097246,710813,best
298,uk,Swiss,2019,3305916,0.069800849,0.031114666,710813,best
299,Austria,Portugal,2019,3244097,7.18409024,1.813245045,710813,best
300,Germany,Denmark,2019,3200035,29.06938823,0.221670726,710813,best
301,Other country,Republic of South Africa,2019,3145018,0.174915394,1.336729465,710813,best
302,Swiss,Argentina,2019,3131275,99.53143913,0.010249727,710813,best
303,USA,Arab Emirates,2019,3122742,0.08746553,0.026352204,710813,best
304,Latvia,Belgium,2019,3121117,0.35132668,76.15909505,710813,best
305,USA,Kaman Islands,2019,3007835,1.758393119,0.025382526,710813,best
306,Italy,Arab Emirates,2019,2993828,0.083854751,0.457073309,710813,best
307,Swiss,Canada,2019,2950551,0.636117622,0.009658156,710813,best
308,USA,Swiss,2019,2924095,0.061739111,0.024675861,710813,best
309,China,Italy,2019,2893226,0.181890428,1.547261237,710813,best
310,Burkina Faso,Belgium,2019,2846133,0.32037327,0.121375217,710813,best
311,Dominican Republic,Italy,2019,2782121,0.174905513,98.39261331,710813,best
312,Slovakia,Hungary,2019,2760642,8.571539017,8.137689522,710813,best
313,Germany,korea,2019,2742747,1.31762907,0.189993771,710813,best
314,Slovakia,Austria,2019,2712676,0.635910766,7.996297623,710813,best
315,Singapore,Morocco,2019,2674697,99.52905331,0.097785723,710813,best
316,Singapore,Malta,2019,2659308,62.7057153,0.097223108,710813,best
317,Kazakhstan,uk,2019,2658627,0.003747643,87.2936008,710813,best
318,USA,Denmark,2019,2604005,23.65500137,0.021974685,710813,best
319,Spain,turkey,2019,2590427,1.180709142,0.274317766,710813,best
320,Italy,USA,2019,2579746,0.758310273,0.393854637,710813,best
321,Slovenian,Croatia,2019,2522108,18.83979191,68.83531379,710813,best
322,Hong Kong,Vietnam,2019,2507453,8.452305485,0.070176892,710813,best
323,Swiss,Israel,2019,2498000,29.50958217,0.008176803,710813,best
324,Ghana,Lebanon,2019,2465542,87.60269736,0.041588259,710813,best
325,Singapore,Indonesia,2019,2382812,12.43068032,0.087114538,710813,best
326,Japan,Philippine,2019,2325456,4.607868335,0.069209085,710813,best
327,Luxembourg,Swiss,2019,2312057,0.048816589,9.583735409,710813,best
328,China,Germany,2019,2309050,0.201374562,1.234851187,710813,best
329,Arab Emirates,Mauritius,2019,2306180,22.13209275,0.169928829,710813,best
330,Swiss,Jordan,2019,2291968,3.571464856,0.00750239,710813,best
331,Germany,Ireland,2019,2283792,2.955513325,0.158201342,710813,best
332,brazil,Hong Kong,2019,2277086,0.063163554,0.131680153,710813,best
333,Burkina Faso,Arab Emirates,2019,2275757,0.063742151,0.097051157,710813,best
334,Singapore,france,2019,2269242,0.551174568,0.08296247,710813,best
335,Japan,Germany,2019,2259025,0.197011832,0.067231998,710813,best
336,korea,Indonesia,2019,2198902,11.47125657,0.559859255,710813,best
337,Germany,Romania,2019,2194475,11.02698393,0.152014233,710813,best
338,Germany,New Zealand,2019,2181070,7.726804548,0.15108565,710813,best
339,China,China,2019,2156037,0.016414115,1.15302174,710813,best
340,Ghana,turkey,2019,2131152,0.971372924,0.035947836,710813,best
341,Laos,Eswatini,2019,2121768,99.95830689,1.103312856,710813,best
342,Singapore,Vietnam,2019,2121036,7.149742873,0.077544125,710813,best
343,Austria,Slovakia,2019,2094678,2.302243205,1.170792521,710813,best
344,australia,Ukraine,2019,2070992,9.706988886,0.013322401,710813,best
345,Swiss,Arab Emirates,2019,2059922,0.057696784,0.006742825,710813,best
346,Jordan,Singapore,2019,2033121,0.023514547,55.36609297,710813,best
347,Czech Republic,Slovakia,2019,1984907,2.18159481,8.079823276,710813,best
348,Croatia,Slovenian,2019,1965725,13.7427421,17.07335334,710813,best
349,Romania,Belgium,2019,1959496,0.220569503,12.60959657,710813,best
350,Czech Republic,Swiss,2019,1956045,0.04129978,7.962336734,710813,best
351,uk,australia,2019,1951517,6.713766404,0.018367315,710813,best
352,Austria,Bulgaria,2019,1938595,16.71868595,1.083551995,710813,best
353,Japan,New Zealand,2019,1931369,6.842197074,0.057480461,710813,best
354,Slovakia,Czech Republic,2019,1924173,1.217037604,5.671985886,710813,best
355,uk,Cyprus,2019,1901642,86.62668577,0.017897901,710813,best
356,Estonia,Lithuania,2019,1882731,28.78739437,81.70444283,710813,best
357,Arab Emirates,Armenia,2019,1872115,93.10128071,0.137945134,710813,best
358,Arab Emirates,India,2019,1860881,0.020676214,0.137117367,710813,best
359,China,Philippine,2019,1856694,3.679021014,0.992936831,710813,best
360,uk,New Zealand,2019,1854039,6.568242641,0.01744987,710813,best
361,USA,korea,2019,1844996,0.8863451,0.015569557,710813,best
362,Laos,China,2019,1841295,0.014017954,0.957467756,710813,best
363,Spain,Andora,2019,1808827,100,0.191548876,710813,best
364,USA,Hong Kong,2019,1807594,0.050140426,0.015253929,710813,best
365,Romania,Austria,2019,1804973,0.423125269,11.61522215,710813,best
366,USA,Poland,2019,1761772,2.062768642,0.014867247,710813,best
367,france,China,2019,1726767,0.013146041,0.34493595,710813,best
368,korea,Malaysia,2019,1695433,0.132637647,0.431671742,710813,best
369,Italy,India,2019,1681336,0.018681293,0.256692705,710813,best
370,Other country,korea,2019,1672772,0.803607848,0.710979594,710813,best
371,Singapore,India,2019,1671143,0.018568039,0.061096239,710813,best
372,uk,Sweden,2019,1660437,4.845417299,0.015627724,710813,best
373,Jordan,Italy,2019,1637776,0.102963189,44.60003034,710813,best
374,Vietnam,Japan,2019,1589591,2.667638608,52.41395388,710813,best
375,Thailand,Hong Kong,2019,1584487,0.043951713,0.429080192,710813,best
376,Czech Republic,Italy,2019,1560998,0.098136334,6.354246307,710813,best
377,Italy,Germany,2019,1560510,0.136093639,0.238245974,710813,best
378,france,Arab Emirates,2019,1557660,0.043628823,0.311155432,710813,best
379,Peru,uk,2019,1513879,0.002133988,54.55732419,710813,best
380,Italy,Senegal,2019,1483496,99.92967519,0.226488103,710813,best
381,korea,Malta,2019,1479109,34.87696342,0.376593801,710813,best
382,Eritrea,Slovakia,2019,1444851,1.588023743,100,710813,best
383,korea,brazil,2019,1413537,13.49477183,0.359898609,710813,best
384,Swiss,Macau,2019,1399516,14.47419656,0.004581091,710813,best
385,USA,Kuwait,2019,1368120,96.56047593,0.011545295,710813,best
386,Singapore,Swiss,2019,1358034,0.028673423,0.049649114,710813,best
387,Italy,China,2019,1357899,0.010337814,0.207312975,710813,best
388,Germany,Lithuania,2019,1318724,20.16359631,0.091349784,710813,best
389,Poland,Lithuania,2019,1306497,19.97664264,1.766203539,710813,best
390,uk,Pakistan,2019,1302470,11.86709675,0.012258605,710813,best
391,Indonesia,Macau,2019,1289811,13.33959593,0.126204289,710813,best
392,Singapore,Arab Emirates,2019,1286728,0.036040232,0.047042199,710813,best
